"","Hour","Rider","Trips"
"722","0","Member",4409
"723","1","Casual",6627
"724","1","Member",2892
"725","2","Casual",4731
"726","2","Member",1752
"727","3","Casual",2361
"728","3","Member",991
"729","4","Casual",1627
"730","4","Member",983
"731","5","Casual",1660
"732","5","Member",3506
"733","6","Casual",3238
"734","6","Member",9504
"735","7","Casual",5591
"736","7","Member",16698
"737","8","Casual",8087
"738","8","Member",18951
"739","9","Casual",10065
"740","9","Member",14017
"741","10","Casual",13804
"742","10","Member",13966
"743","11","Casual",17867
"744","11","Member",16516
"745","12","Casual",21189
"746","12","Member",18547
"747","13","Casual",22888
"748","13","Member",18382
"749","14","Casual",23549
"750","14","Member",18074
"751","15","Casual",24140
"752","15","Member",20414
"753","16","Casual",28447
"754","16","Member",28394
"755","17","Casual",35124
"756","17","Member",38622
"757","18","Casual",32444
"758","18","Member",34596
"759","19","Casual",28275
"760","19","Member",27260
"761","20","Casual",22809
"762","20","Member",19257
"763","21","Casual",18022
"764","21","Member",13888
"765","22","Casual",16468
"766","22","Member",10405
"767","23","Casual",12505
"768","23","Member",6890
"769","0","Casual",9782
"770","0","Member",4666
"771","1","Casual",7570
"772","1","Member",3361
"773","2","Casual",5470
"774","2","Member",2077
"775","3","Casual",2977
"776","3","Member",1071
"777","4","Casual",1771
"778","4","Member",1154
"779","5","Casual",2111
"780","5","Member",3622
"781","6","Casual",4338
"782","6","Member",10209
"783","7","Casual",7249
"784","7","Member",17652
"785","8","Casual",10002
"786","8","Member",20121
"787","9","Casual",12306
"788","9","Member",15213
"789","10","Casual",16958
"790","10","Member",14949
"791","11","Casual",22422
"792","11","Member",17991
"793","12","Casual",27506
"794","12","Member",20928
"795","13","Casual",29099
"796","13","Member",20479
"797","14","Casual",29765
"798","14","Member",20146
"799","15","Casual",30787
"800","15","Member",22604
"801","16","Casual",33378
"802","16","Member",29837
"803","17","Casual",38730
"804","17","Member",39396
"805","18","Casual",37968
"806","18","Member",34776
"807","19","Casual",31416
"808","19","Member",26791
"809","20","Casual",24830
"810","20","Member",19449
"811","21","Casual",20967
"812","21","Member",14427
"813","22","Casual",19614
"814","22","Member",11505
"815","23","Casual",15040
"816","23","Member",7930
"817","0","Casual",9032
"818","0","Member",4589
"819","1","Casual",6703
"820","1","Member",3119
"821","2","Casual",4503
"822","2","Member",1876
"823","3","Casual",2604
"824","3","Member",1058
"825","4","Casual",1845
"826","4","Member",1208
"827","5","Casual",2256
"828","5","Member",4000
"829","6","Casual",4452
"830","6","Member",11022
"831","7","Casual",7954
"832","7","Member",19525
"833","8","Casual",10517
"834","8","Member",22506
"835","9","Casual",12239
"836","9","Member",16174
"837","10","Casual",16973
"838","10","Member",15865
"839","11","Casual",22060
"840","11","Member",19048
"841","12","Casual",25582
"842","12","Member",22241
"843","13","Casual",27659
"844","13","Member",21126
"845","14","Casual",28129
"846","14","Member",20460
"847","15","Casual",29844
"848","15","Member",24035
"849","16","Casual",32452
