"","Year","Month","DayOfWeek","Bike","Trips"
"332","2021","Oct","Wed","Electric",41307
"333","2021","Oct","Thu","Classic",32771
"334","2021","Oct","Thu","Docked",1185
"335","2021","Oct","Thu","Electric",35494
"336","2021","Oct","Fri","Classic",48655
"337","2021","Oct","Fri","Docked",3256
"338","2021","Oct","Fri","Electric",47416
"339","2021","Oct","Sat","Classic",66062
"340","2021","Oct","Sat","Docked",7144
"341","2021","Oct","Sat","Electric",55517
"342","2021","Nov","Sun","Classic",19074
"343","2021","Nov","Sun","Docked",1650
"344","2021","Nov","Sun","Electric",23279
"345","2021","Nov","Mon","Classic",26508
"346","2021","Nov","Mon","Docked",947
"347","2021","Nov","Mon","Electric",32400
"348","2021","Nov","Tue","Classic",29316
"349","2021","Nov","Tue","Docked",822
"350","2021","Nov","Tue","Electric",37161
"351","2021","Nov","Wed","Classic",22896
"352","2021","Nov","Wed","Docked",707
"353","2021","Nov","Wed","Electric",29550
"354","2021","Nov","Thu","Classic",17583
"355","2021","Nov","Thu","Docked",646
"356","2021","Nov","Thu","Electric",24411
"357","2021","Nov","Fri","Classic",17680
"358","2021","Nov","Fri","Docked",852
"359","2021","Nov","Fri","Electric",24577
"360","2021","Nov","Sat","Classic",20982
"361","2021","Nov","Sat","Docked",1990
"362","2021","Nov","Sat","Electric",26947
"363","2021","Dec","Sun","Classic",9691
"364","2021","Dec","Sun","Docked",788
"365","2021","Dec","Sun","Electric",13354
"366","2021","Dec","Mon","Classic",12761
"367","2021","Dec","Mon","Docked",531
"368","2021","Dec","Mon","Electric",16926
"369","2021","Dec","Tue","Classic",12002
"370","2021","Dec","Tue","Docked",281
"371","2021","Dec","Tue","Electric",16103
"372","2021","Dec","Wed","Classic",18330
"373","2021","Dec","Wed","Docked",641
"374","2021","Dec","Wed","Electric",25771
"375","2021","Dec","Thu","Classic",19183
"376","2021","Dec","Thu","Docked",753
"377","2021","Dec","Thu","Electric",27831
"378","2021","Dec","Fri","Classic",16731
"379","2021","Dec","Fri","Docked",898
"380","2021","Dec","Fri","Electric",24809
"381","2021","Dec","Sat","Classic",11937
"382","2021","Dec","Sat","Docked",1036
"383","2021","Dec","Sat","Electric",17183
"384","2022","Jan","Sun","Classic",5810
"385","2022","Jan","Sun","Docked",162
"386","2022","Jan","Sun","Electric",5537
"387","2022","Jan","Mon","Classic",8281
"388","2022","Jan","Mon","Docked",95
"389","2022","Jan","Mon","Electric",7427
"390","2022","Jan","Tue","Classic",8472
"391","2022","Jan","Tue","Docked",98
"392","2022","Jan","Tue","Electric",7579
"393","2022","Jan","Wed","Classic",8450
"394","2022","Jan","Wed","Docked",125
"395","2022","Jan","Wed","Electric",6599
"396","2022","Jan","Thu","Classic",8970
"397","2022","Jan","Thu","Docked",107
"398","2022","Jan","Thu","Electric",7477
"399","2022","Jan","Fri","Classic",7585
"400","2022","Jan","Fri","Docked",114
"401","2022","Jan","Fri","Electric",6112
"402","2022","Jan","Sat","Classic",7499
"403","2022","Jan","Sat","Docked",260
"404","2022","Jan","Sat","Electric",7011
"405","2022","Feb","Sun","Classic",8104
"406","2022","Feb","Sun","Docked",402
"407","2022","Feb","Sun","Electric",7386
"408","2022","Feb","Mon","Classic",12093
"409","2022","Feb","Mon","Docked",288
"410","2022","Feb","Mon","Electric",10399
"411","2022","Feb","Tue","Classic",9930
"412","2022","Feb","Tue","Docked",154
"413","2022","Feb","Tue","Electric",8962
"414","2022","Feb","Wed","Classic",8873
"415","2022","Feb","Wed","Docked",111
"416","2022","Feb","Wed","Electric",8248
"417","2022","Feb","Thu","Classic",6876
"418","2022","Feb","Thu","Docked",69
"419","2022","Feb","Thu","Electric",6569
"420","2022","Feb","Fri","Classic",7300
"421","2022","Feb","Fri","Docked",131
"422","2022","Feb","Fri","Electric",7227
"423","2022","Feb","Sat","Classic",6238
"424","2022","Feb","Sat","Docked",206
"425","2022","Feb","Sat","Electric",6043
"426","2022","Mar","Sun","Classic",18097
"427","2022","Mar","Sun","Docked",1967
